RICname,COW_code,iso3n
Turks and Caicos Is.,1032,NA
Tuscany,337,NA
Two Sicilies,329,NA
Uganda,500,800
United Arab Emirates (Trucail Oman),696,784
United Kingdom,200,826
United States of America,2,840
United States of America (domestic produce),2,840
United States of America (foreign produce),2,840
Uruguay,165,858
Uzbekistan,704,860
Vancouver,1028,NA
Venezuela,101,862
Viceroyalty of La Plata,1160,NA
Victoria,904,NA
Vietnam,815,NA
Virgin Islands,5,NA
Wallachia,3362,NA
Wallis and Futuna Is.,9321,NA
Walvis Bay,5651,NA
Weihaiwei,7105,NA
West Irian (Dutch New Guinea),851,NA
Western Anatolia,6402,NA
Western Australia,902,NA
Western Samoa,990,882
Windward Is.,1055,NA
Yugoslavia/Serbia,345,NA
Zaire (Kinshasa) (Belgian Congo),490,180
Zambia (Northern Rhodesia),551,894
Zanzibar,511,NA
Zimbabwe (Rhodesia) (Southern Rhodesia),552,716
Abu Dhabi,6961,NA
Ajman,6965,NA
Bhutan,760,64
Ceuta & Melilla,,NA
Dubai,6962,NA
French Polynesia,960,NA
Fujairah,6968,NA
Nepal,790,524
Yemen People's Republic,680,720
Qatar,694,634
Ras al Khaimah,6967,NA
Rwanda-Urundi,515,NA
Saudi Arabia (Nejd Wahabbid Empire),670,682
Sharjah,6963,NA
Sikkim,761,NA
Equatorial Guinea (Spanish Guinea),411,226
